drug	organism	mg_per_L	comment
Amikacin	Enterobacter aerogenes	8	
Amoxicillin	Enterobacter aerogenes	NA	missing
Ampicillin-Sulbactam (ratio)	Enterobacter aerogenes	NA	missing
Aztreonam	Enterobacter aerogenes	NA	missing
Cefalothin (a.k.a. Cefalotin)	Enterobacter aerogenes	NA	missing
Cefazolin	Enterobacter aerogenes	NA	missing
Cefepime	Enterobacter aerogenes	0.125	
Cefoperazone	Enterobacter aerogenes	NA	missing
Cefotaxime	Enterobacter aerogenes	0.5	
Cefoxitin	Enterobacter aerogenes	NA	missing
Cefpodoxime	Enterobacter aerogenes	NA	missing
Ceftaroline	Enterobacter aerogenes	NA	missing
Ceftazidime	Enterobacter aerogenes	1	
Ceftibuten	Enterobacter aerogenes	NA	missing
Ceftobiprole	Enterobacter aerogenes	NA	missing
Cefuroxime	Enterobacter aerogenes	8	
Ciprofloxacin	Enterobacter aerogenes	0.125	
Colistin	Enterobacter aerogenes	2	
Doripenem	Enterobacter aerogenes	0.125	
Doxycycline	Enterobacter aerogenes	8	
Ertapenem	Enterobacter aerogenes	0.064	
Fosfomycin	Enterobacter aerogenes	NA	missing
Gentamicin	Enterobacter aerogenes	2	
Imipenem	Enterobacter aerogenes	1	
Kanamycin	Enterobacter aerogenes	NA	missing
Levofloxacin	Enterobacter aerogenes	NA	missing
Loracarbef	Enterobacter aerogenes	NA	missing
Mecillinam	Enterobacter aerogenes	NA	missing
Meropenem	Enterobacter aerogenes	0.125	
Minocycline	Enterobacter aerogenes	16	
Moxifloxacin	Enterobacter aerogenes	0.25	
Nalidixic acid	Enterobacter aerogenes	NA	missing
Piperacillin	Enterobacter aerogenes	NA	missing
Piperacillin-Tazobactam	Enterobacter aerogenes	8	
Tetracycline	Enterobacter aerogenes	16	
Ticarcillin	Enterobacter aerogenes	NA	missing
Ticarcillin-Clavulanic acid	Enterobacter aerogenes	NA	missing
Tigecycline	Enterobacter aerogenes	2	
Tobramycin	Enterobacter aerogenes	2	
Trimethoprim	Enterobacter aerogenes	NA	missing
Trimethoprim-Sulfamethoxazole	Enterobacter aerogenes	1	
Amoxicillin	Enterobacter agglomerans	NA	missing
Ampicillin	Enterobacter agglomerans	NA	missing
Cefalothin (a.k.a. Cefalotin)	Enterobacter agglomerans	NA	missing
Cefuroxime	Enterobacter agglomerans	NA	missing
Ciprofloxacin	Enterobacter agglomerans	NA	missing
Gentamicin	Enterobacter agglomerans	NA	missing
Imipenem	Enterobacter agglomerans	NA	missing
Minocycline	Enterobacter agglomerans	NA	missing
Nalidixic acid	Enterobacter agglomerans	NA	missing
Piperacillin-Tazobactam	Enterobacter agglomerans	NA	missing
Streptomycin	Enterobacter agglomerans	NA	missing
Sulfamethoxazole	Enterobacter agglomerans	NA	missing
Tetracycline	Enterobacter agglomerans	NA	missing
Trimethoprim	Enterobacter agglomerans	NA	missing
Amikacin	Enterobacter amnigenus	NA	missing
Gentamicin	Enterobacter amnigenus	NA	missing
Amikacin	Enterobacter asburiae	NA	missing
Amikacin	Enterobacter cancerogenus	NA	missing
Amikacin	Enterobacter cloacae	8	
Amoxicillin	Enterobacter cloacae	NA	missing
Ampicillin	Enterobacter cloacae	NA	missing
Ampicillin-Sulbactam (ratio)	Enterobacter cloacae	NA	missing
Aztreonam	Enterobacter cloacae	NA	missing
Cefalothin (a.k.a. Cefalotin)	Enterobacter cloacae	NA	missing
Cefazolin	Enterobacter cloacae	NA	missing
Cefepime	Enterobacter cloacae	0.125	
Cefoperazone	Enterobacter cloacae	NA	missing
Cefotaxime	Enterobacter cloacae	0.5	
Cefoxitin	Enterobacter cloacae	NA	missing
Cefpodoxime	Enterobacter cloacae	NA	missing
Ceftaroline	Enterobacter cloacae	NA	missing
Ceftazidime	Enterobacter cloacae	1	
Ceftibuten	Enterobacter cloacae	NA	missing
Ceftobiprole	Enterobacter cloacae	NA	missing
Ceftriaxone	Enterobacter cloacae	0.5	
Cefuroxime	Enterobacter cloacae	16	
Chloramphenicol	Enterobacter cloacae	NA	missing
Ciprofloxacin	Enterobacter cloacae	0.125	
Colistin	Enterobacter cloacae	2	
Doripenem	Enterobacter cloacae	0.125	
Doxycycline	Enterobacter cloacae	8	
Ertapenem	Enterobacter cloacae	0.064	
Gentamicin	Enterobacter cloacae	2	
Imipenem	Enterobacter cloacae	1	
Kanamycin	Enterobacter cloacae	NA	missing
Levofloxacin	Enterobacter cloacae	NA	missing
Loracarbef	Enterobacter cloacae	NA	missing
Mecillinam	Enterobacter cloacae	NA	missing
Meropenem	Enterobacter cloacae	0.125	
Minocycline	Enterobacter cloacae	16	
Moxifloxacin	Enterobacter cloacae	0.25	
Nalidixic acid	Enterobacter cloacae	NA	missing
Piperacillin	Enterobacter cloacae	NA	missing
Piperacillin-Tazobactam	Enterobacter cloacae	8	
Streptomycin	Enterobacter cloacae	NA	missing
Sulbactam	Enterobacter cloacae	NA	missing
Sulfamethoxazole	Enterobacter cloacae	NA	missing
Tetracycline	Enterobacter cloacae	16	
Ticarcillin	Enterobacter cloacae	NA	missing
Ticarcillin-Clavulanic acid	Enterobacter cloacae	NA	missing
Tigecycline	Enterobacter cloacae	2	
Tobramycin	Enterobacter cloacae	2	
Trimethoprim	Enterobacter cloacae	NA	missing
Trimethoprim-Sulfamethoxazole	Enterobacter cloacae	1	
Amoxicillin	Enterobacter dissolvens	NA	missing
Ampicillin	Enterobacter dissolvens	NA	missing
Cefalothin (a.k.a. Cefalotin)	Enterobacter dissolvens	NA	missing
Cefuroxime	Enterobacter dissolvens	NA	missing
Chloramphenicol	Enterobacter dissolvens	NA	missing
Ciprofloxacin	Enterobacter dissolvens	NA	missing
Gentamicin	Enterobacter dissolvens	NA	missing
Imipenem	Enterobacter dissolvens	NA	missing
Minocycline	Enterobacter dissolvens	NA	missing
Nalidixic acid	Enterobacter dissolvens	NA	missing
Norfloxacin	Enterobacter dissolvens	NA	missing
Piperacillin-Tazobactam	Enterobacter dissolvens	8	
Streptomycin	Enterobacter dissolvens	NA	missing
Sulfamethoxazole	Enterobacter dissolvens	NA	missing
Tetracycline	Enterobacter dissolvens	NA	missing
Amikacin	Enterobacter gergoviae	NA	missing
Gentamicin	Enterobacter gergoviae	NA	missing
Amikacin	Enterobacter hormaechei	NA	missing
Amikacin	Enterobacter intermedium	NA	missing
Gentamicin	Enterobacter intermedium	NA	missing
Amikacin	Enterobacter sakazakii	NA	missing
Ampicillin-Sulbactam (ratio)	Enterobacter sakazakii	NA	missing
Cefepime	Enterobacter sakazakii	NA	missing
Ceftobiprole	Enterobacter sakazakii	NA	missing
Gentamicin	Enterobacter sakazakii	NA	missing
Imipenem	Enterobacter sakazakii	NA	missing
Tobramycin	Enterobacter sakazakii	2	
Amoxicillin	Enterobacter spp	NA	missing
Ampicillin-Sulbactam (ratio)	Enterobacter spp	NA	missing
Aztreonam	Enterobacter spp	NA	missing
Cefadroxil	Enterobacter spp	16	
Cefalexin	Enterobacter spp	16	
Cefalothin (a.k.a. Cefalotin)	Enterobacter spp	NA	missing
Cefazolin	Enterobacter spp	NA	missing
Cefixime	Enterobacter spp	NA	missing
Cefotaxime	Enterobacter spp	0.5	
Cefpirome	Enterobacter spp	NA	missing
Cefpodoxime	Enterobacter spp	NA	missing
Ceftazidime	Enterobacter spp	NA	missing
Ceftibuten	Enterobacter spp	NA	missing
Ceftriaxone	Enterobacter spp	0.5	
Cefuroxime	Enterobacter spp	16	
Chloramphenicol	Enterobacter spp	NA	missing
Ciprofloxacin	Enterobacter spp	0.125	
Colistin	Enterobacter spp	NA	missing
Doripenem	Enterobacter spp	0.125	
Doxycycline	Enterobacter spp	8	
Ertapenem	Enterobacter spp	0.064	
Fosfomycin	Enterobacter spp	NA	missing
Gatifloxacin	Enterobacter spp	0.25	
Gentamicin	Enterobacter spp	2	
Imipenem	Enterobacter spp	1	
Levofloxacin	Enterobacter spp	0.25	
Loracarbef	Enterobacter spp	NA	missing
Mecillinam	Enterobacter spp	NA	missing
Meropenem	Enterobacter spp	0.125	
Minocycline	Enterobacter spp	NA	missing
Moxifloxacin	Enterobacter spp	0.25	
Nalidixic acid	Enterobacter spp	NA	missing
Netilmicin	Enterobacter spp	2	
Nitrofurantoin	Enterobacter spp	NA	missing
Norfloxacin	Enterobacter spp	0.25	
Ofloxacin	Enterobacter spp	0.25	
Piperacillin	Enterobacter spp	NA	missing
Piperacillin-Tazobactam	Enterobacter spp	8	
Sparfloxacin	Enterobacter spp	NA	missing
Streptomycin	Enterobacter spp	NA	missing
Sulfamethoxazole	Enterobacter spp	NA	missing
Tetracycline	Enterobacter spp	NA	missing
Tigecycline	Enterobacter spp	2	
Tobramycin	Enterobacter spp	2	
Trimethoprim	Enterobacter spp	NA	missing
Trimethoprim-Sulfamethoxazole	Enterobacter spp	1	
Gentamicin	Enterobacter taylorae	NA	missing
Ampicillin	Enterococcus avium	4	
Benzylpenicillin	Enterococcus avium	NA	missing
Ceftobiprole	Enterococcus avium	NA	missing
Doripenem	Enterococcus avium	NA	missing
Imipenem	Enterococcus avium	NA	missing
Tigecycline	Enterococcus avium	0.25	
Ampicillin	Enterococcus casseliflavus	4	
Benzylpenicillin	Enterococcus casseliflavus	NA	missing
Imipenem	Enterococcus casseliflavus	NA	missing
Tigecycline	Enterococcus casseliflavus	0.25	
Ceftobiprole	Enterococcus durans	NA	missing
Ampicillin	Enterococcus faecalis	4	
Ampicillin-Sulbactam (ratio)	Enterococcus faecalis	4	
Avilamycin	Enterococcus faecalis	8	
Bacitracin	Enterococcus faecalis	32	
Benzylpenicillin	Enterococcus faecalis	16	
Cefalothin (a.k.a. Cefalotin)	Enterococcus faecalis	NA	missing
Cefepime	Enterococcus faecalis	NA	missing
Ceftibuten	Enterococcus faecalis	NA	missing
Ceftobiprole	Enterococcus faecalis	NA	missing
Ceftriaxone	Enterococcus faecalis	NA	missing
Chloramphenicol	Enterococcus faecalis	32	
Ciprofloxacin	Enterococcus faecalis	4	
Clarithromycin	Enterococcus faecalis	NA	missing
Clinafloxacin	Enterococcus faecalis	1	
Clindamycin	Enterococcus faecalis	NA	missing
Daptomycin	Enterococcus faecalis	4	
Doripenem	Enterococcus faecalis	16	
Doxycycline	Enterococcus faecalis	0.5	
Ertapenem	Enterococcus faecalis	32	
Erythromycin	Enterococcus faecalis	4	
Florfenicol	Enterococcus faecalis	8	
Fosfomycin	Enterococcus faecalis	NA	missing
Gatifloxacin	Enterococcus faecalis	2	
Gemifloxacin	Enterococcus faecalis	0.25	
Gentamicin	Enterococcus faecalis	32	
Imipenem	Enterococcus faecalis	4	
Levofloxacin	Enterococcus faecalis	4	
Linezolid	Enterococcus faecalis	4	
Loracarbef	Enterococcus faecalis	NA	missing
Meropenem	Enterococcus faecalis	8	
Minocycline	Enterococcus faecalis	0.5	
Moxifloxacin	Enterococcus faecalis	1	
Narasin	Enterococcus faecalis	2	
Neomycin	Enterococcus faecalis	NA	missing
Nitrofurantoin	Enterococcus faecalis	32	
Norfloxacin	Enterococcus faecalis	8	
Ofloxacin	Enterococcus faecalis	4	
Oxacillin	Enterococcus faecalis	NA	missing
Pefloxacin	Enterococcus faecalis	NA	missing
Phenoxymethylpenicillin	Enterococcus faecalis	NA	missing
Piperacillin	Enterococcus faecalis	8	
Piperacillin-Tazobactam	Enterococcus faecalis	16	
Quinupristin-Dalfopristin	Enterococcus faecalis	NA	missing
Rifampicin	Enterococcus faecalis	4	
Roxithromycin	Enterococcus faecalis	8	
Sparfloxacin	Enterococcus faecalis	1	
Streptomycin	Enterococcus faecalis	512	
Sulbactam	Enterococcus faecalis	NA	missing
Teicoplanin	Enterococcus faecalis	2	
Telithromycin	Enterococcus faecalis	0.064	
Tetracycline	Enterococcus faecalis	4	
Tigecycline	Enterococcus faecalis	0.25	
Tobramycin	Enterococcus faecalis	32	
Vancomycin	Enterococcus faecalis	4	
Virginiamycin	Enterococcus faecalis	32	
Ampicillin	Enterococcus faecium	4	
Ampicillin-Sulbactam (ratio)	Enterococcus faecium	4	
Avilamycin	Enterococcus faecium	16	
Bacitracin	Enterococcus faecium	32	
Benzylpenicillin	Enterococcus faecium	16	
Cefepime	Enterococcus faecium	NA	missing
Ceftobiprole	Enterococcus faecium	NA	missing
Ceftriaxone	Enterococcus faecium	NA	missing
Chloramphenicol	Enterococcus faecium	32	
Ciprofloxacin	Enterococcus faecium	4	
Clarithromycin	Enterococcus faecium	4	
Clinafloxacin	Enterococcus faecium	NA	missing
Daptomycin	Enterococcus faecium	4	
Doripenem	Enterococcus faecium	64	
Doxycycline	Enterococcus faecium	0.5	
Ertapenem	Enterococcus faecium	32	
Erythromycin	Enterococcus faecium	4	
Florfenicol	Enterococcus faecium	8	
Fosfomycin	Enterococcus faecium	NA	missing
Gatifloxacin	Enterococcus faecium	4	
Gentamicin	Enterococcus faecium	32	
Imipenem	Enterococcus faecium	4	
Levofloxacin	Enterococcus faecium	4	
Linezolid	Enterococcus faecium	4	
Meropenem	Enterococcus faecium	8	
Minocycline	Enterococcus faecium	0.5	
Moxifloxacin	Enterococcus faecium	1	
Narasin	Enterococcus faecium	4	
Neomycin	Enterococcus faecium	NA	missing
Netilmicin	Enterococcus faecium	NA	missing
Nitrofurantoin	Enterococcus faecium	256	
Norfloxacin	Enterococcus faecium	NA	missing
Ofloxacin	Enterococcus faecium	NA	missing
Oxacillin	Enterococcus faecium	NA	missing
Pefloxacin	Enterococcus faecium	NA	missing
Phenoxymethylpenicillin	Enterococcus faecium	NA	missing
Piperacillin	Enterococcus faecium	NA	missing
Piperacillin-Tazobactam	Enterococcus faecium	NA	missing
Quinupristin-Dalfopristin	Enterococcus faecium	NA	missing
Roxithromycin	Enterococcus faecium	NA	missing
Sparfloxacin	Enterococcus faecium	NA	missing
Streptomycin	Enterococcus faecium	128	
Teicoplanin	Enterococcus faecium	2	
Tetracycline	Enterococcus faecium	4	
Tigecycline	Enterococcus faecium	0.25	
Tobramycin	Enterococcus faecium	32	
Trimethoprim-Sulfamethoxazole	Enterococcus faecium	1	
Tylosin	Enterococcus faecium	NA	missing
Vancomycin	Enterococcus faecium	4	
Virginiamycin	Enterococcus faecium	4	
Ampicillin	Enterococcus gallinarum	4	
Benzylpenicillin	Enterococcus gallinarum	8	
Ceftobiprole	Enterococcus gallinarum	NA	missing
Ceftriaxone	Enterococcus gallinarum	NA	missing
Doripenem	Enterococcus gallinarum	NA	missing
Imipenem	Enterococcus gallinarum	NA	missing
Oxacillin	Enterococcus gallinarum	NA	missing
Piperacillin	Enterococcus gallinarum	NA	missing
Tigecycline	Enterococcus gallinarum	0.25	
Ampicillin	Enterococcus hirae	NA	missing
Avilamycin	Enterococcus hirae	16	
Chloramphenicol	Enterococcus hirae	8	
Erythromycin	Enterococcus hirae	2	
Gentamicin	Enterococcus hirae	NA	missing
Neomycin	Enterococcus hirae	NA	missing
Streptomycin	Enterococcus hirae	128	
Tetracycline	Enterococcus hirae	4	
Virginiamycin	Enterococcus hirae	NA	missing
Ceftobiprole	Enterococcus spp	NA	missing
Doripenem	Enterococcus spp	NA	missing
Fosfomycin	Enterococcus spp	NA	missing
Teicoplanin	Enterococcus spp	NA	missing
Vancomycin	Enterococcus spp	4	
Amikacin	Escherichia coli	8	
Amoxicillin	Escherichia coli	8	
Amoxicillin-Clavulanic acid (fixed)	Escherichia coli	NA	missing
Ampicillin	Escherichia coli	8	
Ampicillin-Sulbactam (fixed)	Escherichia coli	8	
Ampicillin-Sulbactam (ratio)	Escherichia coli	8	
Aztreonam	Escherichia coli	0.25	
Cefaclor	Escherichia coli	4	
Cefadroxil	Escherichia coli	16	
Cefalexin	Escherichia coli	16	
Cefalothin (a.k.a. Cefalotin)	Escherichia coli	32	
Cefazolin	Escherichia coli	NA	missing
Cefepime	Escherichia coli	0.125	
Cefixime	Escherichia coli	NA	missing
Cefoperazone	Escherichia coli	1	
Cefotaxime	Escherichia coli	0.25	
Cefotaxime-Clavulanate	Escherichia coli	0.25	
Cefoxitin	Escherichia coli	8	
Cefpirome	Escherichia coli	0.25	
Cefpodoxime	Escherichia coli	2	
Ceftaroline	Escherichia coli	0.5	
Ceftazidime	Escherichia coli	0.5	
Ceftazidime-Clavulanate	Escherichia coli	0.5	
Ceftibuten	Escherichia coli	1	
Ceftiofur	Escherichia coli	1	
Ceftobiprole	Escherichia coli	NA	missing
Ceftriaxone	Escherichia coli	0.125	
Cefuroxime	Escherichia coli	8	
Chloramphenicol	Escherichia coli	16	
Ciprofloxacin	Escherichia coli	0.064	
Colistin	Escherichia coli	2	
Doripenem	Escherichia coli	0.125	
Doxycycline	Escherichia coli	4	
Enrofloxacin	Escherichia coli	0.125	
Ertapenem	Escherichia coli	0.064	
Florfenicol	Escherichia coli	16	
Flumequine	Escherichia coli	2	
Fosfomycin	Escherichia coli	8	
Gatifloxacin	Escherichia coli	0.125	
Gentamicin	Escherichia coli	2	
Imipenem	Escherichia coli	0.5	
Kanamycin	Escherichia coli	8	
Levofloxacin	Escherichia coli	0.25	
Loracarbef	Escherichia coli	NA	missing
Mecillinam	Escherichia coli	1	
Meropenem	Escherichia coli	0.125	
Minocycline	Escherichia coli	4	
Moxifloxacin	Escherichia coli	0.25	
Nalidixic acid	Escherichia coli	16	
Neomycin	Escherichia coli	8	
Netilmicin	Escherichia coli	2	
Nitrofurantoin	Escherichia coli	64	
Norfloxacin	Escherichia coli	0.25	
Ofloxacin	Escherichia coli	0.25	
Piperacillin	Escherichia coli	8	
Piperacillin-Tazobactam	Escherichia coli	8	
Sparfloxacin	Escherichia coli	0.064	
Spectinomycin	Escherichia coli	64	
Streptomycin	Escherichia coli	16	
Sulbactam	Escherichia coli	128	
Sulfamethoxazole	Escherichia coli	64	
Tetracycline	Escherichia coli	8	
Ticarcillin	Escherichia coli	16	
Ticarcillin-Clavulanic acid	Escherichia coli	16	
Tigecycline	Escherichia coli	1	
Tobramycin	Escherichia coli	2	
Trimethoprim	Escherichia coli	2	
Trimethoprim-Sulfamethoxazole	Escherichia coli	1	
Tigecycline	Eubacterium lentum	NA	missing
Amoxicillin	Fusobacterium spp	NA	missing
Clindamycin	Fusobacterium spp	NA	missing
Ertapenem	Fusobacterium spp	NA	missing
Imipenem	Fusobacterium spp	NA	missing
Metronidazole	Fusobacterium spp	NA	missing
Piperacillin-Tazobactam	Fusobacterium spp	NA	missing
Amikacin	Haemophilus influenzae	16	
Amoxicillin	Haemophilus influenzae	2	
Ampicillin	Haemophilus influenzae	1	
Ampicillin-Sulbactam (ratio)	Haemophilus influenzae	1	
Azithromycin	Haemophilus influenzae	4	
Benzylpenicillin	Haemophilus influenzae	1	
Cefaclor	Haemophilus influenzae	8	
Cefadroxil	Haemophilus influenzae	NA	missing
Cefalexin	Haemophilus influenzae	64	
Cefdinir	Haemophilus influenzae	1	
Cefepime	Haemophilus influenzae	0.25	
Cefixime	Haemophilus influenzae	0.125	
Cefoperazone	Haemophilus influenzae	0.125	
Cefotaxime	Haemophilus influenzae	0.064	
Cefoxitin	Haemophilus influenzae	8	
Cefpirome	Haemophilus influenzae	0.125	
Cefpodoxime	Haemophilus influenzae	0.25	
Ceftaroline	Haemophilus influenzae	0.032	
Ceftazidime	Haemophilus influenzae	0.5	
Ceftibuten	Haemophilus influenzae	0.5	
Ceftobiprole	Haemophilus influenzae	NA	missing
Ceftriaxone	Haemophilus influenzae	0.064	
Cefuroxime	Haemophilus influenzae	2	
Chloramphenicol	Haemophilus influenzae	2	
Ciprofloxacin	Haemophilus influenzae	0.064	
Clarithromycin	Haemophilus influenzae	32	
Clindamycin	Haemophilus influenzae	NA	missing
Doripenem	Haemophilus influenzae	0.5	
Doxycycline	Haemophilus influenzae	NA	missing
Ertapenem	Haemophilus influenzae	0.125	
Erythromycin	Haemophilus influenzae	16	
Fosfomycin	Haemophilus influenzae	NA	missing
Fusidic acid	Haemophilus influenzae	NA	missing
Gatifloxacin	Haemophilus influenzae	0.064	
Gemifloxacin	Haemophilus influenzae	0.032	
Gentamicin	Haemophilus influenzae	4	
Imipenem	Haemophilus influenzae	2	
Levofloxacin	Haemophilus influenzae	0.064	
Linezolid	Haemophilus influenzae	32	
Loracarbef	Haemophilus influenzae	4	
Meropenem	Haemophilus influenzae	0.25	
Minocycline	Haemophilus influenzae	1	
Moxifloxacin	Haemophilus influenzae	0.125	
Nalidixic acid	Haemophilus influenzae	4	
Ofloxacin	Haemophilus influenzae	0.125	
Phenoxymethylpenicillin	Haemophilus influenzae	8	
Piperacillin-Tazobactam	Haemophilus influenzae	0.064	
Rifampicin	Haemophilus influenzae	1	
Roxithromycin	Haemophilus influenzae	NA	missing
Sparfloxacin	Haemophilus influenzae	0.064	
Telithromycin	Haemophilus influenzae	8	
Tetracycline	Haemophilus influenzae	1	
Tigecycline	Haemophilus influenzae	1	
Tobramycin	Haemophilus influenzae	8	
Trimethoprim	Haemophilus influenzae	0.5	
Trimethoprim-Sulfamethoxazole	Haemophilus influenzae	0.5	
Amoxicillin	Haemophilus parainfluenzae	1	
Ampicillin	Haemophilus parainfluenzae	NA	missing
Ampicillin-Sulbactam (ratio)	Haemophilus parainfluenzae	NA	missing
Azithromycin	Haemophilus parainfluenzae	2	
Benzylpenicillin	Haemophilus parainfluenzae	NA	missing
Cefaclor	Haemophilus parainfluenzae	NA	missing
Cefdinir	Haemophilus parainfluenzae	NA	missing
Cefepime	Haemophilus parainfluenzae	NA	missing
Cefixime	Haemophilus parainfluenzae	NA	missing
Cefuroxime	Haemophilus parainfluenzae	1	
Chloramphenicol	Haemophilus parainfluenzae	2	
Ciprofloxacin	Haemophilus parainfluenzae	0.064	
Clarithromycin	Haemophilus parainfluenzae	16	
Ertapenem	Haemophilus parainfluenzae	0.125	
Erythromycin	Haemophilus parainfluenzae	16	
Gatifloxacin	Haemophilus parainfluenzae	NA	missing
Imipenem	Haemophilus parainfluenzae	2	
Levofloxacin	Haemophilus parainfluenzae	0.064	
Moxifloxacin	Haemophilus parainfluenzae	NA	missing
Sparfloxacin	Haemophilus parainfluenzae	NA	missing
Tetracycline	Haemophilus parainfluenzae	2	
Tigecycline	Haemophilus parainfluenzae	1	
Ampicillin	Hafnia alvei	NA	missing
Cefalothin (a.k.a. Cefalotin)	Hafnia alvei	NA	missing
Cefoxitin	Hafnia alvei	NA	missing
Chloramphenicol	Hafnia alvei	NA	missing
Ciprofloxacin	Hafnia alvei	0.125	
Ertapenem	Hafnia alvei	NA	missing
Gentamicin	Hafnia alvei	NA	missing
Imipenem	Hafnia alvei	NA	missing
Nalidixic acid	Hafnia alvei	NA	missing
Norfloxacin	Hafnia alvei	NA	missing
Streptomycin	Hafnia alvei	NA	missing
Tetracycline	Hafnia alvei	NA	missing
Tobramycin	Hafnia alvei	NA	missing
Amoxicillin	Helicobacter pylori	0.125	
Ciprofloxacin	Helicobacter pylori	0.5	
Clarithromycin	Helicobacter pylori	0.25	
Levofloxacin	Helicobacter pylori	0.5	
Metronidazole	Helicobacter pylori	8	
Rifampicin	Helicobacter pylori	NA	missing
Tetracycline	Helicobacter pylori	0.25	
Amikacin	Klebsiella oxytoca	8	
Amoxicillin	Klebsiella oxytoca	NA	missing
Ampicillin	Klebsiella oxytoca	8	
Ampicillin-Sulbactam (ratio)	Klebsiella oxytoca	NA	missing
Aztreonam	Klebsiella oxytoca	NA	missing
Cefalothin (a.k.a. Cefalotin)	Klebsiella oxytoca	NA	missing
Cefazolin	Klebsiella oxytoca	NA	missing
Cefepime	Klebsiella oxytoca	0.125	
Cefoperazone	Klebsiella oxytoca	NA	missing
Cefotaxime	Klebsiella oxytoca	0.125	
Cefoxitin	Klebsiella oxytoca	8	
Ceftaroline	Klebsiella oxytoca	0.5	
Ceftazidime	Klebsiella oxytoca	0.5	
Ceftibuten	Klebsiella oxytoca	NA	missing
Ceftobiprole	Klebsiella oxytoca	NA	missing
Cefuroxime	Klebsiella oxytoca	8	
Chloramphenicol	Klebsiella oxytoca	NA	missing
Ciprofloxacin	Klebsiella oxytoca	0.125	
Colistin	Klebsiella oxytoca	2	
Doripenem	Klebsiella oxytoca	0.125	
Doxycycline	Klebsiella oxytoca	4	
Ertapenem	Klebsiella oxytoca	0.064	
Gentamicin	Klebsiella oxytoca	2	
Imipenem	Klebsiella oxytoca	1	
Kanamycin	Klebsiella oxytoca	NA	missing
Levofloxacin	Klebsiella oxytoca	0.25	
Loracarbef	Klebsiella oxytoca	NA	missing
Meropenem	Klebsiella oxytoca	0.125	
Minocycline	Klebsiella oxytoca	8	
Moxifloxacin	Klebsiella oxytoca	0.25	
Nalidixic acid	Klebsiella oxytoca	NA	missing
Norfloxacin	Klebsiella oxytoca	NA	missing
Piperacillin	Klebsiella oxytoca	NA	missing
Piperacillin-Tazobactam	Klebsiella oxytoca	8	
Streptomycin	Klebsiella oxytoca	NA	missing
Sulbactam	Klebsiella oxytoca	NA	missing
Sulfamethoxazole	Klebsiella oxytoca	NA	missing
Tetracycline	Klebsiella oxytoca	8	
Ticarcillin	Klebsiella oxytoca	NA	missing
Ticarcillin-Clavulanic acid	Klebsiella oxytoca	NA	missing
Tigecycline	Klebsiella oxytoca	2	
Tobramycin	Klebsiella oxytoca	2	
Trimethoprim	Klebsiella oxytoca	NA	missing
Trimethoprim-Sulfamethoxazole	Klebsiella oxytoca	1	
Tobramycin	Klebsiella ozaenae	NA	missing
Amikacin	Klebsiella pneumoniae	8	
Amoxicillin	Klebsiella pneumoniae	NA	missing
Amoxicillin-Clavulanic acid (fixed)	Klebsiella pneumoniae	NA	missing
Ampicillin	Klebsiella pneumoniae	8	
Ampicillin-Sulbactam (fixed)	Klebsiella pneumoniae	NA	missing
Ampicillin-Sulbactam (ratio)	Klebsiella pneumoniae	NA	missing
Aztreonam	Klebsiella pneumoniae	NA	missing
Cefalothin (a.k.a. Cefalotin)	Klebsiella pneumoniae	NA	missing
Cefazolin	Klebsiella pneumoniae	NA	missing
Cefepime	Klebsiella pneumoniae	0.125	
Cefoperazone	Klebsiella pneumoniae	NA	missing
Cefotaxime	Klebsiella pneumoniae	0.25	
Cefoxitin	Klebsiella pneumoniae	8	
Ceftaroline	Klebsiella pneumoniae	0.5	
Ceftazidime	Klebsiella pneumoniae	0.5	
Ceftibuten	Klebsiella pneumoniae	NA	missing
Ceftobiprole	Klebsiella pneumoniae	NA	missing
Ceftriaxone	Klebsiella pneumoniae	0.125	
Cefuroxime	Klebsiella pneumoniae	8	
Chloramphenicol	Klebsiella pneumoniae	NA	missing
Ciprofloxacin	Klebsiella pneumoniae	0.125	
Colistin	Klebsiella pneumoniae	2	
Doripenem	Klebsiella pneumoniae	0.125	
Doxycycline	Klebsiella pneumoniae	4	
Ertapenem	Klebsiella pneumoniae	0.064	
Gatifloxacin	Klebsiella pneumoniae	0.25	
Gentamicin	Klebsiella pneumoniae	2	
Imipenem	Klebsiella pneumoniae	1	
Kanamycin	Klebsiella pneumoniae	NA	missing
Levofloxacin	Klebsiella pneumoniae	0.25	
Loracarbef	Klebsiella pneumoniae	NA	missing
Mecillinam	Klebsiella pneumoniae	1	
Meropenem	Klebsiella pneumoniae	0.125	
Minocycline	Klebsiella pneumoniae	8	
Moxifloxacin	Klebsiella pneumoniae	0.25	
Nalidixic acid	Klebsiella pneumoniae	NA	missing
Norfloxacin	Klebsiella pneumoniae	NA	missing
Ofloxacin	Klebsiella pneumoniae	0.25	
Piperacillin	Klebsiella pneumoniae	NA	missing
Piperacillin-Tazobactam	Klebsiella pneumoniae	8	
Sparfloxacin	Klebsiella pneumoniae	NA	missing
Streptomycin	Klebsiella pneumoniae	NA	missing
Sulbactam	Klebsiella pneumoniae	NA	missing
Sulfamethoxazole	Klebsiella pneumoniae	NA	missing
Tetracycline	Klebsiella pneumoniae	8	
Ticarcillin	Klebsiella pneumoniae	NA	missing
