version	drug	organism	mg_per_L	comment
2024	Clindamycin	Streptococcus anginosus group	NA	unspecified
2024	Clindamycin	Streptococcus bovis equinus group	NA	unspecified
2024	Clindamycin	Streptococcus canis	NA	insufficient data
2024	Clindamycin	Streptococcus constellatus	NA	unspecified
2024	Clindamycin	Streptococcus dysgalactiae	0.5	NA
2024	Clindamycin	Streptococcus equi subspecies equi	NA	unspecified
2024	Clindamycin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Clindamycin	Streptococcus equinus	NA	insufficient data
2024	Clindamycin	Streptococcus equisimilis	NA	insufficient data
2024	Clindamycin	Streptococcus group G	0.5	tentative
2024	Clindamycin	Streptococcus mitis	NA	unspecified
2024	Clindamycin	Streptococcus mitis group	NA	unspecified
2024	Clindamycin	Streptococcus oralis	0.25	NA
2024	Clindamycin	Streptococcus pneumoniae	0.25	NA
2024	Clindamycin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Clindamycin	Streptococcus pyogenes	0.25	NA
2024	Clindamycin	Streptococcus salivarius group	NA	unspecified
2024	Clindamycin	Streptococcus sanguinis	NA	unspecified
2024	Clindamycin	Streptococcus sanguinis group	NA	unspecified
2024	Clindamycin	Streptococcus suis	0.5	NA
2024	Clindamycin	Streptococcus thermophilus	NA	insufficient data
2024	Clindamycin	Streptococcus uberis	0.25	NA
2024	Clindamycin	Yersinia enterocolitica	NA	insufficient data
2024	Clofazimine	Mycobacterium tuberculosis 7H9	NA	unspecified
2024	Cloxacillin	Staphylococcus aureus	NA	insufficient data
2024	Cloxacillin	Staphylococcus hyicus	NA	insufficient data
2024	Cloxacillin	Staphylococcus pseudintermedius	1	tentative
2024	Cloxacillin	Streptococcus agalactiae	NA	unspecified
2024	Cloxacillin	Streptococcus canis	0.5	tentative
2024	Cloxacillin	Streptococcus dysgalactiae	0.25	NA
2024	Cloxacillin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Cloxacillin	Streptococcus equisimilis	NA	insufficient data
2024	Cloxacillin	Streptococcus suis	NA	unspecified
2024	Cloxacillin	Streptococcus uberis	1	NA
2024	Colistin	Achromobacter xylosoxidans	NA	insufficient data
2024	Colistin	Acinetobacter baumannii	2	tentative
2024	Colistin	Acinetobacter pittii	NA	insufficient data
2024	Colistin	Aeromonas caviae	NA	unspecified
2024	Colistin	Aeromonas hydrophila	NA	unspecified
2024	Colistin	Aeromonas veronii	NA	unspecified
2024	Colistin	Citrobacter freundii	NA	insufficient data
2024	Colistin	Enterobacter cloacae	2	NA
2024	Colistin	Escherichia coli	2	NA
2024	Colistin	Escherichia coli ATCC 25922	NA	insufficient data
2024	Colistin	Escherichia coli NCTC 13846	NA	insufficient data
2024	Colistin	Klebsiella aerogenes	2	NA
2024	Colistin	Klebsiella oxytoca	2	NA
2024	Colistin	Klebsiella pneumoniae	2	NA
2024	Colistin	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Colistin	Pseudomonas aeruginosa	4	NA
2024	Colistin	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Colistin	Pseudomonas putida group	NA	insufficient data
2024	Colistin	Salmonella Dublin	16	tentative
2024	Cyclerosine	Mycobacterium tuberculosis 7H9	NA	unspecified
2024	Dalbavancin	Clostridium perfringens	NA	insufficient data
2024	Dalbavancin	Clostridium ramnosum	NA	insufficient data
2024	Dalbavancin	Enterococcus faecalis	NA	insufficient data
2024	Dalbavancin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Dalbavancin	Enterococcus faecium	NA	insufficient data
2024	Dalbavancin	Nocardia abscessus	NA	insufficient data
2024	Dalbavancin	Nocardia cyriacigeorgica	NA	insufficient data
2024	Dalbavancin	Nocardia nova	NA	insufficient data
2024	Dalbavancin	Staphylococcus aureus	0.25	NA
2024	Dalbavancin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Dalbavancin	Staphylococcus epidermidis	NA	insufficient data
2024	Dalbavancin	Staphylococcus haemolyticus	NA	insufficient data
2024	Dalbavancin	Staphylococcus hominis	NA	insufficient data
2024	Dalbavancin	Staphylococcus lugdunensis	NA	insufficient data
2024	Dalbavancin	Staphylococcus saprophyticus	NA	insufficient data
2024	Dalbavancin	Staphylococcus warneri	NA	insufficient data
2024	Dalbavancin	Staphylococcus xylosus	NA	insufficient data
2024	Dalbavancin	Streptococcus agalactiae	0.125	NA
2024	Dalbavancin	Streptococcus anginosus	NA	unspecified
2024	Dalbavancin	Streptococcus anginosus group	NA	unspecified
2024	Dalbavancin	Streptococcus bovis equinus group	NA	unspecified
2024	Dalbavancin	Streptococcus constellatus	NA	unspecified
2024	Dalbavancin	Streptococcus group G	NA	insufficient data
2024	Dalbavancin	Streptococcus mitis	NA	unspecified
2024	Dalbavancin	Streptococcus mitis group	NA	unspecified
2024	Dalbavancin	Streptococcus oralis	NA	unspecified
2024	Dalbavancin	Streptococcus pyogenes	0.03	NA
2024	Dalbavancin	Streptococcus salivarius	NA	unspecified
2024	Dalbavancin	Streptococcus salivarius group	NA	unspecified
2024	Dalbavancin	Streptococcus sanguinis	NA	unspecified
2024	Dalbavancin	Streptococcus sanguinis group	NA	unspecified
2024	Daptomycin	Clostridioides difficile	NA	insufficient data
2024	Daptomycin	Enterococcus faecalis	4	NA
2024	Daptomycin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Daptomycin	Enterococcus faecium	8	NA
2024	Daptomycin	Kocuria kristinae	NA	insufficient data
2024	Daptomycin	Listeria monocytogenes	8	tentative
2024	Daptomycin	Rothia aeria	NA	insufficient data
2024	Daptomycin	Rothia dentocariosa	NA	insufficient data
2024	Daptomycin	Staphylococcus aureus	1	NA
2024	Daptomycin	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Daptomycin	Staphylococcus aureus MRSA	1	tentative
2024	Daptomycin	Staphylococcus aureus MSSA	1	tentative
2024	Daptomycin	Staphylococcus capitis	NA	insufficient data
2024	Daptomycin	Staphylococcus epidermidis	1	NA
2024	Daptomycin	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Daptomycin	Staphylococcus haemolyticus	1	tentative
2024	Daptomycin	Staphylococcus hominis	1	tentative
2024	Daptomycin	Staphylococcus lugdunensis	NA	insufficient data
2024	Daptomycin	Staphylococcus saprophyticus	NA	insufficient data
2024	Daptomycin	Staphylococcus warneri	NA	insufficient data
2024	Daptomycin	Streptococcus agalactiae	0.5	NA
2024	Daptomycin	Streptococcus bovis	NA	insufficient data
2024	Daptomycin	Streptococcus group G	0.125	tentative
2024	Daptomycin	Streptococcus mitis	NA	insufficient data
2024	Daptomycin	Streptococcus oralis	2	tentative
2024	Daptomycin	Streptococcus pneumoniae	0.5	tentative
2024	Daptomycin	Streptococcus pyogenes	0.25	tentative
2024	Delafloxacin	Acinetobacter baumannii	1	NA
2024	Delafloxacin	Citrobacter freundii	0.25	tentative
2024	Delafloxacin	Citrobacter koseri	0.125	tentative
2024	Delafloxacin	Enterobacter cloacae	0.5	NA
2024	Delafloxacin	Enterococcus faecalis	0.5	NA
2024	Delafloxacin	Enterococcus faecium	NA	insufficient data
2024	Delafloxacin	Escherichia coli	0.125	NA
2024	Delafloxacin	Haemophilus influenzae	NA	insufficient data
2024	Delafloxacin	Haemophilus parainfluenzae	NA	insufficient data
2024	Delafloxacin	Klebsiella aerogenes	0.5	NA
2024	Delafloxacin	Klebsiella oxytoca	0.5	NA
2024	Delafloxacin	Klebsiella pneumoniae	0.25	NA
2024	Delafloxacin	Proteus mirabilis	0.25	NA
2024	Delafloxacin	Proteus vulgaris	NA	insufficient data
2024	Delafloxacin	Pseudomonas aeruginosa	2	NA
2024	Delafloxacin	Staphylococcus aureus	0.016	NA
2024	Delafloxacin	Staphylococcus aureus MRSA	0.016	NA
2024	Delafloxacin	Staphylococcus aureus MSSA	0.016	NA
2024	Delafloxacin	Staphylococcus epidermidis	0.03	tentative
2024	Delafloxacin	Staphylococcus haemolyticus	0.016	NA
2024	Delafloxacin	Staphylococcus hominis	0.016	NA
2024	Delafloxacin	Staphylococcus lugdunensis	0.06	NA
2024	Delafloxacin	Streptococcus agalactiae	0.06	NA
2024	Delafloxacin	Streptococcus anginosus	0.03	NA
2024	Delafloxacin	Streptococcus constellatus	NA	unspecified
2024	Delafloxacin	Streptococcus dysgalactiae	0.06	NA
2024	Delafloxacin	Streptococcus mitis	NA	insufficient data
2024	Delafloxacin	Streptococcus pneumoniae	0.06	NA
2024	Delafloxacin	Streptococcus pyogenes	0.03	NA
2024	Delamanid	Mycobacterium tuberculosis 7H11	0.03	NA
2024	Delamanid	Mycobacterium tuberculosis MGIT 960	NA	insufficient data
2024	Dihydrostreptomycin	Pasteurella multocida	NA	unspecified
2024	Doripenem	Acinetobacter baumannii	1	NA
2024	Doripenem	Acinetobacter pittii	NA	insufficient data
2024	Doripenem	Alcaligenes xylosoxidans	NA	insufficient data
2024	Doripenem	Bacteroides fragilis	NA	insufficient data
2024	Doripenem	Bacteroides fragilis group	NA	insufficient data
2024	Doripenem	Bacteroides thetaiotaomicron	NA	insufficient data
2024	Doripenem	Clostridioides difficile	NA	insufficient data
2024	Doripenem	Enterobacter cloacae	0.125	NA
2024	Doripenem	Enterococcus avium	NA	insufficient data
2024	Doripenem	Enterococcus faecalis	16	NA
2024	Doripenem	Enterococcus gallinarum	NA	insufficient data
2024	Doripenem	Escherichia coli	0.06	tentative
2024	Doripenem	Haemophilus influenzae	0.5	tentative
2024	Doripenem	Klebsiella aerogenes	0.25	tentative
2024	Doripenem	Klebsiella oxytoca	0.125	tentative
2024	Doripenem	Klebsiella pneumoniae	0.125	NA
2024	Doripenem	Moraxella catarrhalis	NA	insufficient data
2024	Doripenem	Morganella morganii	1	NA
2024	Doripenem	Proteus mirabilis	0.5	NA
2024	Doripenem	Proteus vulgaris	0.5	NA
2024	Doripenem	Pseudomonas aeruginosa	2	NA
2024	Doripenem	Serratia liquefaciens	NA	insufficient data
2024	Doripenem	Serratia marcescens	0.5	NA
2024	Doripenem	Staphylococcus aureus	NA	unspecified
2024	Doripenem	Staphylococcus aureus MRSA	0.125	NA
2024	Doripenem	Staphylococcus aureus MSSA	0.125	tentative
2024	Doripenem	Staphylococcus epidermidis	NA	insufficient data
2024	Doripenem	Staphylococcus epidermidis MSSE	NA	insufficient data
2024	Doripenem	Staphylococcus lugdunensis	NA	insufficient data
2024	Doripenem	Streptococcus agalactiae	NA	unspecified
2024	Doripenem	Streptococcus pyogenes	0.016	tentative
2024	Doripenem	Streptococcus sanguinis	NA	unspecified
2024	Doxycycline	Actinobacillus pleuropneumoniae	2	NA
2024	Doxycycline	Actinomyces israelii	NA	insufficient data
2024	Doxycycline	Bacillus anthracis	0.06	NA
2024	Doxycycline	Brucella melitensis	0.25	NA
2024	Doxycycline	Burkholderia pseudomallei	2	NA
2024	Doxycycline	Campylobacter coli	1	tentative
2024	Doxycycline	Campylobacter jejuni	0.5	tentative
2024	Doxycycline	Citrobacter freundii	8	tentative
2024	Doxycycline	Corynebacterium diphtheriae	0.25	tentative
2024	Doxycycline	Corynebacterium ulcerans	0.5	tentative
2024	Doxycycline	Enterobacter cloacae	8	tentative
2024	Doxycycline	Enterococcus faecalis	1	NA
2024	Doxycycline	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Doxycycline	Enterococcus faecium	0.5	NA
2024	Doxycycline	Escherichia coli	8	NA
2024	Doxycycline	Haemophilus influenzae	1	tentative
2024	Doxycycline	Haemophilus influenzae ATCC 49247	NA	insufficient data
2024	Doxycycline	Haemophilus influenzae ATCC 49766	NA	insufficient data
2024	Doxycycline	Kingella kingae	NA	insufficient data
2024	Doxycycline	Klebsiella aerogenes	NA	insufficient data
2024	Doxycycline	Klebsiella oxytoca	4	tentative
2024	Doxycycline	Klebsiella pneumoniae	4	NA
2024	Doxycycline	Kocuria kristinae	NA	insufficient data
2024	Doxycycline	Legionella pneumophila	NA	insufficient data
2024	Doxycycline	Mannheimia haemolytica	2	NA
2024	Doxycycline	Moraxella catarrhalis	NA	insufficient data
2024	Doxycycline	Morganella morganii	NA	insufficient data
2024	Doxycycline	Mycobacterium marinum	NA	insufficient data
2024	Doxycycline	Pasteurella multocida	1	NA
2024	Doxycycline	Proteus vulgaris	NA	insufficient data
2024	Doxycycline	Pseudomonas aeruginosa	64	tentative
2024	Doxycycline	Rothia aeria	NA	insufficient data
2024	Doxycycline	Rothia dentocariosa	NA	insufficient data
2024	Doxycycline	Rothia mucilaginosa	NA	insufficient data
2024	Doxycycline	Salmonella enterica	8	NA
2024	Doxycycline	Serratia marcescens	NA	insufficient data
2024	Doxycycline	Staphylococcus aureus	0.5	NA
2024	Doxycycline	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Doxycycline	Staphylococcus haemolyticus	NA	insufficient data
2024	Doxycycline	Staphylococcus hyicus	NA	insufficient data
2024	Doxycycline	Staphylococcus pseudintermedius	0.125	NA
2024	Doxycycline	Staphylococcus saprophyticus	NA	insufficient data
2024	Doxycycline	Stenotrophomonas maltophilia	NA	insufficient data
2024	Doxycycline	Streptococcus agalactiae	0.5	NA
2024	Doxycycline	Streptococcus canis	0.5	tentative
2024	Doxycycline	Streptococcus dysgalactiae	NA	insufficient data
2024	Doxycycline	Streptococcus equi subspecies equi	NA	unspecified
2024	Doxycycline	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Doxycycline	Streptococcus equisimilis	NA	insufficient data
2024	Doxycycline	Streptococcus pneumoniae	0.5	NA
2024	Doxycycline	Streptococcus pyogenes	0.5	NA
2024	Doxycycline	Streptococcus suis	0.5	tentative
2024	Doxycycline	Streptococcus uberis	0.5	tentative
2024	Doxycycline	Vibrio alginolyticus	NA	insufficient data
2024	Doxycycline	Vibrio cholerae	0.5	tentative
2024	Doxycycline	Vibrio fluvialis	NA	insufficient data
2024	Doxycycline	Vibrio parahaemolyticus	NA	insufficient data
2024	Doxycycline	Vibrio vulnificus	NA	insufficient data
2024	Doxycycline	Yersinia enterocolitica	NA	insufficient data
2024	Enrofloxacin	Actinobacillus pleuropneumoniae	0.125	NA
2024	Enrofloxacin	Escherichia coli	0.125	NA
2024	Enrofloxacin	Listeria monocytogenes	NA	unspecified
2024	Enrofloxacin	Mannheimia haemolytica	0.125	NA
2024	Enrofloxacin	Pasteurella multocida	0.06	NA
2024	Enrofloxacin	Pseudomonas aeruginosa	NA	unspecified
2024	Enrofloxacin	Salmonella enterica	NA	unspecified
2024	Enrofloxacin	Staphylococcus hyicus	0.25	NA
2024	Enrofloxacin	Staphylococcus pseudintermedius	0.5	NA
2024	Enrofloxacin	Streptococcus canis	NA	unspecified
2024	Enrofloxacin	Streptococcus equi subspecies equi	NA	unspecified
2024	Enrofloxacin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Enrofloxacin	Streptococcus suis	NA	unspecified
2024	Enrofloxacin	Streptococcus uberis	NA	unspecified
2024	Eravacycline	Acinetobacter baumannii	NA	insufficient data
2024	Eravacycline	Bacteroides fragilis	2	tentative
2024	Eravacycline	Bacteroides ovatus	NA	insufficient data
2024	Eravacycline	Bacteroides thetaiotaomicron	NA	insufficient data
2024	Eravacycline	Bacteroides uniformis	NA	insufficient data
2024	Eravacycline	Bacteroides vulgatus	NA	insufficient data
2024	Eravacycline	Citrobacter freundii	NA	insufficient data
2024	Eravacycline	Citrobacter koseri	NA	insufficient data
2024	Eravacycline	Clostridioides difficile	NA	insufficient data
2024	Eravacycline	Clostridium innocuum	NA	insufficient data
2024	Eravacycline	Enterobacter cloacae	2	NA
2024	Eravacycline	Enterococcus faecalis	0.25	NA
2024	Eravacycline	Enterococcus faecium	0.25	tentative
2024	Eravacycline	Escherichia coli	0.5	NA
2024	Eravacycline	Haemophilus influenzae	NA	insufficient data
2024	Eravacycline	Klebsiella aerogenes	NA	insufficient data
2024	Eravacycline	Klebsiella oxytoca	0.25	tentative
2024	Eravacycline	Klebsiella pneumoniae	2	NA
2024	Eravacycline	Klebsiella variicola	NA	insufficient data
2024	Eravacycline	Morganella morganii	4	tentative
2024	Eravacycline	Prevotella bivia	NA	insufficient data
2024	Eravacycline	Proteus mirabilis	4	NA
2024	Eravacycline	Proteus vulgaris	2	NA
2024	Eravacycline	Providencia rettgeri	NA	insufficient data
2024	Eravacycline	Providencia stuartii	4	tentative
2024	Eravacycline	Pseudomonas aeruginosa	32	tentative
2024	Eravacycline	Salmonella enterica	NA	insufficient data
2024	Eravacycline	Serratia marcescens	2	NA
2024	Eravacycline	Staphylococcus aureus	0.25	NA
2024	Eravacycline	Staphylococcus epidermidis	0.25	tentative
2024	Eravacycline	Staphylococcus hominis	NA	insufficient data
2024	Eravacycline	Staphylococcus saprophyticus	NA	insufficient data
2024	Eravacycline	Stenotrophomonas maltophilia	4	NA
2024	Eravacycline	Streptococcus agalactiae	0.125	tentative
2024	Eravacycline	Streptococcus pneumoniae	NA	insufficient data
2024	Eravacycline	Streptococcus pyogenes	0.06	tentative
2024	Ertapenem	Acinetobacter baumannii	16	tentative
2024	Ertapenem	Bacteroides fragilis	NA	insufficient data
2024	Ertapenem	Campylobacter jejuni	0.125	tentative
2024	Ertapenem	Clostridioides difficile	NA	insufficient data
2024	Ertapenem	Enterobacter cloacae	0.06	tentative
2024	Ertapenem	Enterococcus faecalis	32	tentative
2024	Ertapenem	Escherichia coli	0.03	tentative
2024	Ertapenem	Escherichia coli NCTC 13846	NA	insufficient data
2024	Ertapenem	Haemophilus influenzae	0.25	NA
2024	Ertapenem	Haemophilus parainfluenzae	NA	insufficient data
2024	Ertapenem	Klebsiella aerogenes	NA	insufficient data
2024	Ertapenem	Klebsiella oxytoca	NA	insufficient data
2024	Ertapenem	Klebsiella pneumoniae	0.03	tentative
2024	Ertapenem	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
2024	Ertapenem	Moraxella catarrhalis	0.06	tentative
2024	Ertapenem	Morganella morganii	0.125	NA
2024	Ertapenem	Proteus mirabilis	0.03	NA
2024	Ertapenem	Proteus vulgaris	0.06	tentative
2024	Ertapenem	Providencia rettgeri	NA	insufficient data
2024	Ertapenem	Pseudomonas aeruginosa	NA	insufficient data
2024	Ertapenem	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
2024	Ertapenem	Serratia marcescens	NA	insufficient data
2024	Ertapenem	Staphylococcus aureus	0.5	NA
2024	Ertapenem	Staphylococcus saprophyticus	NA	insufficient data
2024	Ertapenem	Streptococcus agalactiae	0.125	NA
2024	Ertapenem	Streptococcus anginosus	NA	insufficient data
2024	Ertapenem	Streptococcus group G	NA	insufficient data
2024	Ertapenem	Streptococcus oralis	NA	insufficient data
2024	Ertapenem	Streptococcus pneumoniae	0.03	NA
2024	Ertapenem	Streptococcus pyogenes	NA	insufficient data
2024	Erythromycin	Actinobacillus pleuropneumoniae	8	tentative
2024	Erythromycin	Actinomyces israelii	NA	insufficient data
2024	Erythromycin	Bacillus cereus	NA	insufficient data
2024	Erythromycin	Bacteroides fragilis group	NA	insufficient data
2024	Erythromycin	Bifidobacterium adolescentis	NA	insufficient data
2024	Erythromycin	Bifidobacterium animalis	NA	insufficient data
2024	Erythromycin	Bifidobacterium bifidum	NA	insufficient data
2024	Erythromycin	Bifidobacterium longum	NA	insufficient data
2024	Erythromycin	Bordetella bronchiseptica	NA	insufficient data
2024	Erythromycin	Campylobacter coli	8	NA
2024	Erythromycin	Campylobacter jejuni	4	NA
2024	Erythromycin	Campylobacter upsaliensis	NA	insufficient data
2024	Erythromycin	Clostridioides difficile	4	NA
2024	Erythromycin	Corynebacterium diphtheriae	0.016	tentative
2024	Erythromycin	Corynebacterium ulcerans	0.03	tentative
2024	Erythromycin	Enterococcus faecalis	4	NA
2024	Erythromycin	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Erythromycin	Enterococcus faecium	4	NA
2024	Erythromycin	Enterococcus hirae	1	NA
2024	Erythromycin	Haemophilus influenzae	16	NA
2024	Erythromycin	Haemophilus parainfluenzae	NA	insufficient data
2024	Erythromycin	Kingella kingae	NA	insufficient data
2024	Erythromycin	Kocuria kristinae	NA	unspecified
2024	Erythromycin	Lactobacillus delbrueckii	NA	unspecified
2024	Erythromycin	Lactobacillus fermentum	NA	insufficient data
2024	Erythromycin	Lactobacillus gasseri	NA	insufficient data
2024	Erythromycin	Lactobacillus johnsonii	NA	insufficient data
2024	Erythromycin	Lactobacillus lactis	NA	insufficient data
2024	Erythromycin	Lactobacillus paracasei	NA	insufficient data
2024	Erythromycin	Lactobacillus plantarum	NA	insufficient data
2024	Erythromycin	Lactobacillus reuteri	NA	insufficient data
2024	Erythromycin	Lactobacillus sakei	NA	insufficient data
2024	Erythromycin	Lactococcus lactis	NA	insufficient data
2024	Erythromycin	Legionella pneumophila	NA	insufficient data
2024	Erythromycin	Listeria monocytogenes	1	tentative
2024	Erythromycin	Mannheimia haemolytica	8	NA
2024	Erythromycin	Moraxella catarrhalis	0.25	NA
2024	Erythromycin	Neisseria gonorrhoeae	NA	insufficient data
2024	Erythromycin	Pasteurella multocida	16	NA
2024	Erythromycin	Rothia aeria	NA	unspecified
2024	Erythromycin	Rothia dentocariosa	NA	unspecified
2024	Erythromycin	Rothia mucilaginosa	NA	unspecified
2024	Erythromycin	Staphylococcus aureus	1	NA
2024	Erythromycin	Staphylococcus aureus ATCC 29213	NA	unspecified
2024	Erythromycin	Staphylococcus aureus MRSA	1	NA
2024	Erythromycin	Staphylococcus aureus MSSA	1	NA
2024	Erythromycin	Staphylococcus capitis	NA	insufficient data
2024	Erythromycin	Staphylococcus epidermidis	1	NA
2024	Erythromycin	Staphylococcus epidermidis MSSE	NA	unspecified
2024	Erythromycin	Staphylococcus haemolyticus	NA	insufficient data
2024	Erythromycin	Staphylococcus hyicus	1	NA
2024	Erythromycin	Staphylococcus intermedius	NA	insufficient data
2024	Erythromycin	Staphylococcus pseudintermedius	0.5	NA
2024	Erythromycin	Staphylococcus saprophyticus	NA	insufficient data
2024	Erythromycin	Staphylococcus warneri	NA	insufficient data
2024	Erythromycin	Streptococcus agalactiae	0.5	NA
2024	Erythromycin	Streptococcus anginosus	0.25	tentative
2024	Erythromycin	Streptococcus anginosus group	NA	insufficient data
2024	Erythromycin	Streptococcus canis	0.25	tentative
2024	Erythromycin	Streptococcus dysgalactiae	0.25	NA
2024	Erythromycin	Streptococcus equi subspecies equi	NA	unspecified
2024	Erythromycin	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Erythromycin	Streptococcus equisimilis	NA	insufficient data
2024	Erythromycin	Streptococcus group G	NA	insufficient data
2024	Erythromycin	Streptococcus oralis	0.25	tentative
2024	Erythromycin	Streptococcus pneumoniae	0.25	NA
2024	Erythromycin	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
2024	Erythromycin	Streptococcus pyogenes	0.25	NA
2024	Erythromycin	Streptococcus suis	0.25	tentative
2024	Erythromycin	Streptococcus thermophilus	NA	insufficient data
2024	Erythromycin	Streptococcus uberis	0.25	NA
2024	Erythromycin	Vibrio alginolyticus	NA	unspecified
2024	Erythromycin	Vibrio cholerae	16	tentative
2024	Erythromycin	Vibrio fluvialis	NA	unspecified
2024	Erythromycin	Vibrio parahaemolyticus	NA	unspecified
2024	Erythromycin	Vibrio vulnificus	NA	unspecified
2024	Erythromycin	Yersinia enterocolitica	NA	insufficient data
2024	Ethambutol	Mycobacterium avium	32	NA
2024	Ethambutol	Mycobacterium avium ATCC 700898	NA	unspecified
2024	Ethambutol	Mycobacterium intracellulare	16	NA
2024	Ethambutol	Mycobacterium tuberculosis 7H9	NA	unspecified
2024	Ethionamide	Mycobacterium tuberculosis 7H9	NA	unspecified
2024	Fidaxomicin	Clostridioides difficile	0.5	NA
2024	Florfenicol	Actinobacillus pleuropneumoniae	1	NA
2024	Florfenicol	Arcanobacterium pyogenes	NA	insufficient data
2024	Florfenicol	Bordetella bronchiseptica	8	NA
2024	Florfenicol	Campylobacter coli	4	NA
2024	Florfenicol	Campylobacter jejuni	4	NA
2024	Florfenicol	Campylobacter upsaliensis	NA	insufficient data
2024	Florfenicol	Enterococcus faecalis	8	NA
2024	Florfenicol	Enterococcus faecium	8	NA
2024	Florfenicol	Escherichia coli	16	NA
2024	Florfenicol	Haemophilus parasuis	NA	insufficient data
2024	Florfenicol	Histophilus somni	NA	insufficient data
2024	Florfenicol	Klebsiella oxytoca	NA	insufficient data
2024	Florfenicol	Klebsiella pneumoniae	8	tentative
2024	Florfenicol	Klebsiella variicola	NA	insufficient data
2024	Florfenicol	Mannheimia haemolytica	2	NA
2024	Florfenicol	Mycoplasma bovis	NA	insufficient data
2024	Florfenicol	Mycoplasma hyopneumoniae	NA	insufficient data
2024	Florfenicol	Pasteurella multocida	1	NA
2024	Florfenicol	Pseudomonas aeruginosa	256	NA
2024	Florfenicol	Salmonella enterica	16	NA
2024	Florfenicol	Staphylococcus aureus	8	tentative
2024	Florfenicol	Staphylococcus hyicus	4	NA
2024	Florfenicol	Staphylococcus pseudintermedius	8	NA
2024	Florfenicol	Streptococcus agalactiae	4	NA
2024	Florfenicol	Streptococcus canis	4	tentative
2024	Florfenicol	Streptococcus dysgalactiae	4	NA
2024	Florfenicol	Streptococcus equi subspecies equi	NA	unspecified
2024	Florfenicol	Streptococcus equi subspecies zooepidemicus	NA	unspecified
2024	Florfenicol	Streptococcus equisimilis	NA	insufficient data
2024	Florfenicol	Streptococcus suis	4	NA
2024	Florfenicol	Streptococcus uberis	4	NA
2024	Flucloxacillin	Staphylococcus aureus	1	tentative
2024	Flumequine	Bordetella bronchiseptica	NA	insufficient data
2024	Flumequine	Escherichia coli	2	NA
2024	Flumequine	Haemophilus parasuis	NA	insufficient data
2024	Flumequine	Mannheimia haemolytica	0.5	NA
2024	Flumequine	Pasteurella multocida	0.5	NA
2024	Flumequine	Pseudomonas aeruginosa	NA	insufficient data
2024	Flumequine	Salmonella enterica	2	NA
2024	Flumequine	Staphylococcus hyicus	4	tentative
2024	Flumequine	Staphylococcus pseudintermedius	8	tentative
2024	Flumequine	Streptococcus dysgalactiae	NA	insufficient data
2024	Fosfomycin	Acinetobacter baumannii	512	tentative
2024	Fosfomycin	Citrobacter freundii	NA	insufficient data
2024	Fosfomycin	Citrobacter koseri	NA	insufficient data
2024	Fosfomycin	Enterobacter cloacae	NA	insufficient data
2024	Fosfomycin	Enterococcus faecalis	128	NA
2024	Fosfomycin	Enterococcus faecium	128	tentative
2024	Fosfomycin	Escherichia coli	4	NA
2024	Fosfomycin	Klebsiella aerogenes	NA	insufficient data
2024	Fosfomycin	Klebsiella oxytoca	NA	insufficient data
2024	Fosfomycin	Klebsiella pneumoniae	128	NA
2024	Fosfomycin	Proteus mirabilis	8	tentative
2024	Fosfomycin	Pseudomonas aeruginosa	256	NA
2024	Fosfomycin	Serratia marcescens	32	tentative
2024	Fosfomycin	Staphylococcus aureus	32	NA
2024	Fosfomycin	Staphylococcus epidermidis	NA	insufficient data
2024	Fosfomycin	Streptococcus pneumoniae	NA	insufficient data
2024	Fusidic acid	Clostridioides difficile	2	tentative
2024	Fusidic acid	Enterococcus faecalis ATCC 29212	NA	insufficient data
2024	Fusidic acid	Haemophilus influenzae	NA	insufficient data
2024	Fusidic acid	Staphylococcus aureus	0.5	NA
2024	Fusidic acid	Staphylococcus aureus ATCC 29213	NA	insufficient data
2024	Fusidic acid	Staphylococcus aureus MRSA	0.5	NA
2024	Fusidic acid	Staphylococcus aureus MSSA	0.5	NA
2024	Fusidic acid	Staphylococcus epidermidis	NA	insufficient data
2024	Fusidic acid	Staphylococcus haemolyticus	NA	unspecified
2024	Fusidic acid	Staphylococcus lugdunensis	NA	insufficient data
2024	Fusidic acid	Streptococcus agalactiae	NA	insufficient data
2024	Fusidic acid	Streptococcus pneumoniae	NA	insufficient data
