drug	organism	mg_per_L	count
Vancomycin	Streptococcus group C	0.002	0
Benzylpenicillin	Streptococcus group F	0.002	0
Cefepime	Streptococcus group F	0.002	0
Oxacillin	Streptococcus group F	0.002	0
Amoxicillin	Streptococcus group G	0.002	0
Benzylpenicillin	Streptococcus group G	0.002	1
Cefepime	Streptococcus group G	0.002	0
Cefotaxime	Streptococcus group G	0.002	0
Ceftobiprole	Streptococcus group G	0.002	0
Ciprofloxacin	Streptococcus group G	0.002	0
Clindamycin	Streptococcus group G	0.002	0
Daptomycin	Streptococcus group G	0.002	0
Doripenem	Streptococcus group G	0.002	5
Ertapenem	Streptococcus group G	0.002	0
Erythromycin	Streptococcus group G	0.002	0
Gentamicin	Streptococcus group G	0.002	0
Imipenem	Streptococcus group G	0.002	8
Levofloxacin	Streptococcus group G	0.002	0
Linezolid	Streptococcus group G	0.002	0
Meropenem	Streptococcus group G	0.002	6
Minocycline	Streptococcus group G	0.002	0
Moxifloxacin	Streptococcus group G	0.002	0
Ofloxacin	Streptococcus group G	0.002	0
Oxacillin	Streptococcus group G	0.002	0
Piperacillin-Tazobactam	Streptococcus group G	0.002	0
Sparfloxacin	Streptococcus group G	0.002	0
Teicoplanin	Streptococcus group G	0.002	0
Tetracycline	Streptococcus group G	0.002	0
Tigecycline	Streptococcus group G	0.002	0
Vancomycin	Streptococcus group G	0.002	0
Benzylpenicillin	Streptococcus intermedius	0.002	0
Cefepime	Streptococcus intermedius	0.002	0
Ciprofloxacin	Streptococcus intermedius	0.002	0
Gentamicin	Streptococcus intermedius	0.002	0
Imipenem	Streptococcus intermedius	0.002	0
Linezolid	Streptococcus intermedius	0.002	0
Moxifloxacin	Streptococcus intermedius	0.002	0
Oxacillin	Streptococcus intermedius	0.002	0
Tigecycline	Streptococcus intermedius	0.002	0
Vancomycin	Streptococcus intermedius	0.002	0
Benzylpenicillin	Streptococcus milleri	0.002	0
Cefepime	Streptococcus milleri	0.002	0
Ciprofloxacin	Streptococcus milleri	0.002	0
Clarithromycin	Streptococcus milleri	0.002	0
Erythromycin	Streptococcus milleri	0.002	0
Moxifloxacin	Streptococcus milleri	0.002	0
Oxacillin	Streptococcus milleri	0.002	0
Piperacillin-Tazobactam	Streptococcus milleri	0.002	0
Roxithromycin	Streptococcus milleri	0.002	0
Telithromycin	Streptococcus milleri	0.002	0
Vancomycin	Streptococcus milleri	0.002	0
Ampicillin	Streptococcus mitis	0.002	0
Benzylpenicillin	Streptococcus mitis	0.002	0
Cefepime	Streptococcus mitis	0.002	0
Ciprofloxacin	Streptococcus mitis	0.002	0
Clindamycin	Streptococcus mitis	0.002	0
Daptomycin	Streptococcus mitis	0.002	0
Doripenem	Streptococcus mitis	0.002	0
Imipenem	Streptococcus mitis	0.002	0
Levofloxacin	Streptococcus mitis	0.002	0
Linezolid	Streptococcus mitis	0.002	0
Meropenem	Streptococcus mitis	0.002	0
Moxifloxacin	Streptococcus mitis	0.002	0
Oxacillin	Streptococcus mitis	0.002	0
Quinupristin-Dalfopristin	Streptococcus mitis	0.002	0
Vancomycin	Streptococcus mitis	0.002	0
Benzylpenicillin	Streptococcus mutans	0.002	0
Cefepime	Streptococcus mutans	0.002	0
Moxifloxacin	Streptococcus mutans	0.002	0
Oxacillin	Streptococcus mutans	0.002	0
Vancomycin	Streptococcus mutans	0.002	0
Amoxicillin	Streptococcus oralis	0.002	0
Benzylpenicillin	Streptococcus oralis	0.002	0
Cefepime	Streptococcus oralis	0.002	0
Cefotaxime	Streptococcus oralis	0.002	0
Cefpodoxime	Streptococcus oralis	0.002	0
Ceftobiprole	Streptococcus oralis	0.002	0
Ciprofloxacin	Streptococcus oralis	0.002	0
Clindamycin	Streptococcus oralis	0.002	0
Daptomycin	Streptococcus oralis	0.002	0
Doripenem	Streptococcus oralis	0.002	0
Ertapenem	Streptococcus oralis	0.002	0
Erythromycin	Streptococcus oralis	0.002	0
Gentamicin	Streptococcus oralis	0.002	0
Imipenem	Streptococcus oralis	0.002	0
Levofloxacin	Streptococcus oralis	0.002	0
Linezolid	Streptococcus oralis	0.002	0
Meropenem	Streptococcus oralis	0.002	0
Minocycline	Streptococcus oralis	0.002	0
Moxifloxacin	Streptococcus oralis	0.002	0
Oxacillin	Streptococcus oralis	0.002	0
Piperacillin-Tazobactam	Streptococcus oralis	0.002	0
Quinupristin-Dalfopristin	Streptococcus oralis	0.002	0
Teicoplanin	Streptococcus oralis	0.002	0
Tetracycline	Streptococcus oralis	0.002	0
Tigecycline	Streptococcus oralis	0.002	0
Vancomycin	Streptococcus oralis	0.002	0
Benzylpenicillin	Streptococcus parasanguis	0.002	0
Ciprofloxacin	Streptococcus parasanguis	0.002	0
Clindamycin	Streptococcus parasanguis	0.002	0
Gentamicin	Streptococcus parasanguis	0.002	0
Vancomycin	Streptococcus parasanguis	0.002	0
Amoxicillin	Streptococcus pneumoniae	0.002	2
Ampicillin	Streptococcus pneumoniae	0.002	0
Azithromycin	Streptococcus pneumoniae	0.002	0
Benzylpenicillin	Streptococcus pneumoniae	0.002	108
Cefaclor	Streptococcus pneumoniae	0.002	0
Cefadroxil	Streptococcus pneumoniae	0.002	0
Cefalexin	Streptococcus pneumoniae	0.002	0
Cefalothin (a.k.a. Cefalotin)	Streptococcus pneumoniae	0.002	0
Cefazolin	Streptococcus pneumoniae	0.002	0
Cefdinir	Streptococcus pneumoniae	0.002	0
Cefixime	Streptococcus pneumoniae	0.002	0
Cefoperazone	Streptococcus pneumoniae	0.002	0
Cefotaxime	Streptococcus pneumoniae	0.002	157
Cefpirome	Streptococcus pneumoniae	0.002	0
Cefpodoxime	Streptococcus pneumoniae	0.002	0
Ceftaroline	Streptococcus pneumoniae	0.002	1
Ceftazidime	Streptococcus pneumoniae	0.002	0
Ceftibuten	Streptococcus pneumoniae	0.002	0
Ceftobiprole	Streptococcus pneumoniae	0.002	49
Ceftriaxone	Streptococcus pneumoniae	0.002	0
Cefuroxime	Streptococcus pneumoniae	0.002	0
Chloramphenicol	Streptococcus pneumoniae	0.002	0
Ciprofloxacin	Streptococcus pneumoniae	0.002	0
Clarithromycin	Streptococcus pneumoniae	0.002	0
Clindamycin	Streptococcus pneumoniae	0.002	0
Daptomycin	Streptococcus pneumoniae	0.002	0
Doripenem	Streptococcus pneumoniae	0.002	7
Doxycycline	Streptococcus pneumoniae	0.002	0
Ertapenem	Streptococcus pneumoniae	0.002	99
Erythromycin	Streptococcus pneumoniae	0.002	0
Fosfomycin	Streptococcus pneumoniae	0.002	0
Fusidic acid	Streptococcus pneumoniae	0.002	0
Gatifloxacin	Streptococcus pneumoniae	0.002	0
Gemifloxacin	Streptococcus pneumoniae	0.002	0
Gentamicin	Streptococcus pneumoniae	0.002	0
Imipenem	Streptococcus pneumoniae	0.002	59
Levofloxacin	Streptococcus pneumoniae	0.002	0
Linezolid	Streptococcus pneumoniae	0.002	0
Loracarbef	Streptococcus pneumoniae	0.002	0
Meropenem	Streptococcus pneumoniae	0.002	18
Minocycline	Streptococcus pneumoniae	0.002	0
Moxifloxacin	Streptococcus pneumoniae	0.002	0
Netilmicin	Streptococcus pneumoniae	0.002	0
Norfloxacin	Streptococcus pneumoniae	0.002	0
Ofloxacin	Streptococcus pneumoniae	0.002	0
Oxacillin	Streptococcus pneumoniae	0.002	0
Phenoxymethylpenicillin	Streptococcus pneumoniae	0.002	0
Piperacillin	Streptococcus pneumoniae	0.002	1
Piperacillin-Tazobactam	Streptococcus pneumoniae	0.002	2
Quinupristin-Dalfopristin	Streptococcus pneumoniae	0.002	0
Rifampicin	Streptococcus pneumoniae	0.002	0
Roxithromycin	Streptococcus pneumoniae	0.002	0
Sparfloxacin	Streptococcus pneumoniae	0.002	0
Spiramycin	Streptococcus pneumoniae	0.002	0
Teicoplanin	Streptococcus pneumoniae	0.002	0
Telithromycin	Streptococcus pneumoniae	0.002	28
Tetracycline	Streptococcus pneumoniae	0.002	0
Tigecycline	Streptococcus pneumoniae	0.002	0
Tobramycin	Streptococcus pneumoniae	0.002	0
Trimethoprim	Streptococcus pneumoniae	0.002	0
Trimethoprim-Sulfamethoxazole	Streptococcus pneumoniae	0.002	0
Vancomycin	Streptococcus pneumoniae	0.002	0
Amoxicillin	Streptococcus pyogenes	0.002	0
Ampicillin	Streptococcus pyogenes	0.002	0
Azithromycin	Streptococcus pyogenes	0.002	0
Benzylpenicillin	Streptococcus pyogenes	0.002	9
Cefaclor	Streptococcus pyogenes	0.002	0
Cefadroxil	Streptococcus pyogenes	0.002	0
Cefalothin (a.k.a. Cefalotin)	Streptococcus pyogenes	0.002	0
Cefixime	Streptococcus pyogenes	0.002	0
Cefotaxime	Streptococcus pyogenes	0.002	1
Ceftaroline	Streptococcus pyogenes	0.002	0
Ceftazidime	Streptococcus pyogenes	0.002	0
Ceftibuten	Streptococcus pyogenes	0.002	0
Ceftobiprole	Streptococcus pyogenes	0.002	0
Chloramphenicol	Streptococcus pyogenes	0.002	0
Ciprofloxacin	Streptococcus pyogenes	0.002	0
Clarithromycin	Streptococcus pyogenes	0.002	0
Clindamycin	Streptococcus pyogenes	0.002	0
Daptomycin	Streptococcus pyogenes	0.002	0
Doripenem	Streptococcus pyogenes	0.002	88
Doxycycline	Streptococcus pyogenes	0.002	0
Ertapenem	Streptococcus pyogenes	0.002	0
Erythromycin	Streptococcus pyogenes	0.002	0
Fosfomycin	Streptococcus pyogenes	0.002	0
Fusidic acid	Streptococcus pyogenes	0.002	0
Gatifloxacin	Streptococcus pyogenes	0.002	0
Gemifloxacin	Streptococcus pyogenes	0.002	0
Gentamicin	Streptococcus pyogenes	0.002	0
Imipenem	Streptococcus pyogenes	0.002	62
Levofloxacin	Streptococcus pyogenes	0.002	0
Linezolid	Streptococcus pyogenes	0.002	0
Loracarbef	Streptococcus pyogenes	0.002	0
Meropenem	Streptococcus pyogenes	0.002	67
Minocycline	Streptococcus pyogenes	0.002	0
Moxifloxacin	Streptococcus pyogenes	0.002	0
Mupirocin	Streptococcus pyogenes	0.002	0
Ofloxacin	Streptococcus pyogenes	0.002	0
Oxacillin	Streptococcus pyogenes	0.002	0
Phenoxymethylpenicillin	Streptococcus pyogenes	0.002	0
Piperacillin-Tazobactam	Streptococcus pyogenes	0.002	0
Quinupristin-Dalfopristin	Streptococcus pyogenes	0.002	0
Retapamulin	Streptococcus pyogenes	0.002	4
Roxithromycin	Streptococcus pyogenes	0.002	0
Sparfloxacin	Streptococcus pyogenes	0.002	0
Spiramycin	Streptococcus pyogenes	0.002	0
Teicoplanin	Streptococcus pyogenes	0.002	0
Telithromycin	Streptococcus pyogenes	0.002	7
Tetracycline	Streptococcus pyogenes	0.002	0
Tigecycline	Streptococcus pyogenes	0.002	0
Tobramycin	Streptococcus pyogenes	0.002	0
Trimethoprim	Streptococcus pyogenes	0.002	0
Trimethoprim-Sulfamethoxazole	Streptococcus pyogenes	0.002	0
Vancomycin	Streptococcus pyogenes	0.002	0
Ampicillin	Streptococcus salivarius	0.002	0
Benzylpenicillin	Streptococcus salivarius	0.002	0
Cefepime	Streptococcus salivarius	0.002	0
Ceftriaxone	Streptococcus salivarius	0.002	0
Ciprofloxacin	Streptococcus salivarius	0.002	0
Doripenem	Streptococcus salivarius	0.002	0
Moxifloxacin	Streptococcus salivarius	0.002	0
Vancomycin	Streptococcus salivarius	0.002	0
Ampicillin	Streptococcus sanguinis	0.002	0
Benzylpenicillin	Streptococcus sanguinis	0.002	0
Cefepime	Streptococcus sanguinis	0.002	0
Ceftriaxone	Streptococcus sanguinis	0.002	0
Ciprofloxacin	Streptococcus sanguinis	0.002	0
Doripenem	Streptococcus sanguinis	0.002	0
Levofloxacin	Streptococcus sanguinis	0.002	0
Linezolid	Streptococcus sanguinis	0.002	0
Moxifloxacin	Streptococcus sanguinis	0.002	0
Vancomycin	Streptococcus sanguinis	0.002	0
Erythromycin	Streptococcus thermophilus	0.002	0
Gentamicin	Streptococcus thermophilus	0.002	0
Streptomycin	Streptococcus thermophilus	0.002	0
Tetracycline	Streptococcus thermophilus	0.002	0
Ciprofloxacin	Streptococcus uberis	0.002	0
Benzylpenicillin	Streptococcus vestibularis	0.002	0
Amoxicillin	Streptococcus viridans group	0.002	0
Ampicillin	Streptococcus viridans group	0.002	0
Benzylpenicillin	Streptococcus viridans group	0.002	0
Cefadroxil	Streptococcus viridans group	0.002	0
Cefalothin (a.k.a. Cefalotin)	Streptococcus viridans group	0.002	0
Cefixime	Streptococcus viridans group	0.002	0
Cefotaxime	Streptococcus viridans group	0.002	1
Ceftazidime	Streptococcus viridans group	0.002	0
Ceftibuten	Streptococcus viridans group	0.002	0
Ceftobiprole	Streptococcus viridans group	0.002	0
Ciprofloxacin	Streptococcus viridans group	0.002	0
Clindamycin	Streptococcus viridans group	0.002	0
Daptomycin	Streptococcus viridans group	0.002	0
Doripenem	Streptococcus viridans group	0.002	0
Doxycycline	Streptococcus viridans group	0.002	0
Ertapenem	Streptococcus viridans group	0.002	0
Erythromycin	Streptococcus viridans group	0.002	0
Gatifloxacin	Streptococcus viridans group	0.002	0
Gentamicin	Streptococcus viridans group	0.002	0
Imipenem	Streptococcus viridans group	0.002	0
Levofloxacin	Streptococcus viridans group	0.002	0
Linezolid	Streptococcus viridans group	0.002	0
Meropenem	Streptococcus viridans group	0.002	0
Minocycline	Streptococcus viridans group	0.002	0
Moxifloxacin	Streptococcus viridans group	0.002	0
Netilmicin	Streptococcus viridans group	0.002	0
Norfloxacin	Streptococcus viridans group	0.002	0
Ofloxacin	Streptococcus viridans group	0.002	0
Oxacillin	Streptococcus viridans group	0.002	0
Phenoxymethylpenicillin	Streptococcus viridans group	0.002	0
Piperacillin	Streptococcus viridans group	0.002	0
Piperacillin-Tazobactam	Streptococcus viridans group	0.002	0
Quinupristin-Dalfopristin	Streptococcus viridans group	0.002	0
Sparfloxacin	Streptococcus viridans group	0.002	0
Teicoplanin	Streptococcus viridans group	0.002	0
Telithromycin	Streptococcus viridans group	0.002	0
Tetracycline	Streptococcus viridans group	0.002	0
Tigecycline	Streptococcus viridans group	0.002	0
Vancomycin	Streptococcus viridans group	0.002	0
Cefepime	Yersinia enterocolitica	0.002	0
Cefotaxime	Yersinia enterocolitica	0.002	0
Ciprofloxacin	Yersinia enterocolitica	0.002	0
Doxycycline	Yersinia enterocolitica	0.002	0
Gentamicin	Yersinia enterocolitica	0.002	0
Imipenem	Yersinia enterocolitica	0.002	0
Levofloxacin	Yersinia enterocolitica	0.002	0
Minocycline	Yersinia enterocolitica	0.002	0
Ofloxacin	Yersinia enterocolitica	0.002	0
Tetracycline	Yersinia enterocolitica	0.002	0
Trimethoprim	Yersinia enterocolitica	0.002	0
Trimethoprim-Sulfamethoxazole	Yersinia enterocolitica	0.002	0
Ampicillin	Yersinia spp	0.002	0
Cefalothin (a.k.a. Cefalotin)	Yersinia spp	0.002	0
Ciprofloxacin	Yersinia spp	0.002	0
Gentamicin	Yersinia spp	0.002	0
Nalidixic acid	Yersinia spp	0.002	0
Streptomycin	Yersinia spp	0.002	0
Tetracycline	Yersinia spp	0.002	0
Amikacin	Acinetobacter anitratus	0.004	0
Ciprofloxacin	Acinetobacter anitratus	0.004	0
Gentamicin	Acinetobacter anitratus	0.004	0
Levofloxacin	Acinetobacter anitratus	0.004	0
Tobramycin	Acinetobacter anitratus	0.004	0
Amikacin	Acinetobacter baumannii	0.004	0
Amoxicillin-Clavulanic acid (fixed)	Acinetobacter baumannii	0.004	0
Ampicillin	Acinetobacter baumannii	0.004	0
Aztreonam	Acinetobacter baumannii	0.004	0
Cefazolin	Acinetobacter baumannii	0.004	0
Cefepime	Acinetobacter baumannii	0.004	0
Cefepime-Clavulanate	Acinetobacter baumannii	0.004	0
Cefotaxime	Acinetobacter baumannii	0.004	0
Cefoxitin	Acinetobacter baumannii	0.004	0
Ceftazidime	Acinetobacter baumannii	0.004	0
Ceftibuten	Acinetobacter baumannii	0.004	0
Ceftobiprole	Acinetobacter baumannii	0.004	0
Ceftriaxone	Acinetobacter baumannii	0.004	0
Cefuroxime	Acinetobacter baumannii	0.004	0
Ciprofloxacin	Acinetobacter baumannii	0.004	0
Colistin	Acinetobacter baumannii	0.004	0
Doripenem	Acinetobacter baumannii	0.004	0
Doxycycline	Acinetobacter baumannii	0.004	0
Ertapenem	Acinetobacter baumannii	0.004	0
Gentamicin	Acinetobacter baumannii	0.004	0
Imipenem	Acinetobacter baumannii	0.004	0
Levofloxacin	Acinetobacter baumannii	0.004	0
Meropenem	Acinetobacter baumannii	0.004	0
Minocycline	Acinetobacter baumannii	0.004	0
Moxifloxacin	Acinetobacter baumannii	0.004	0
Nalidixic acid	Acinetobacter baumannii	0.004	0
Netilmicin	Acinetobacter baumannii	0.004	0
Ofloxacin	Acinetobacter baumannii	0.004	0
Piperacillin	Acinetobacter baumannii	0.004	0
Piperacillin-Tazobactam	Acinetobacter baumannii	0.004	0
Rifampicin	Acinetobacter baumannii	0.004	0
Sulbactam	Acinetobacter baumannii	0.004	0
Tetracycline	Acinetobacter baumannii	0.004	0
Ticarcillin	Acinetobacter baumannii	0.004	0
Tigecycline	Acinetobacter baumannii	0.004	0
Tobramycin	Acinetobacter baumannii	0.004	0
Trimethoprim	Acinetobacter baumannii	0.004	0
Trimethoprim-Sulfamethoxazole	Acinetobacter baumannii	0.004	0
Amikacin	Acinetobacter calcoaceticus	0.004	0
Cefepime	Acinetobacter calcoaceticus	0.004	0
Cefotaxime	Acinetobacter calcoaceticus	0.004	0
Ceftobiprole	Acinetobacter calcoaceticus	0.004	0
Ciprofloxacin	Acinetobacter calcoaceticus	0.004	0
Doripenem	Acinetobacter calcoaceticus	0.004	0
Gentamicin	Acinetobacter calcoaceticus	0.004	0
Imipenem	Acinetobacter calcoaceticus	0.004	0
Tobramycin	Acinetobacter calcoaceticus	0.004	0
Amikacin	Acinetobacter lwoffii	0.004	0
Ampicillin	Acinetobacter lwoffii	0.004	0
Ampicillin-Sulbactam (ratio)	Acinetobacter lwoffii	0.004	0
Cefepime	Acinetobacter lwoffii	0.004	0
Cefotaxime	Acinetobacter lwoffii	0.004	0
Cefoxitin	Acinetobacter lwoffii	0.004	0
Ceftazidime	Acinetobacter lwoffii	0.004	0
Ceftobiprole	Acinetobacter lwoffii	0.004	0
Ceftriaxone	Acinetobacter lwoffii	0.004	0
Cefuroxime	Acinetobacter lwoffii	0.004	0
Ciprofloxacin	Acinetobacter lwoffii	0.004	0
Doripenem	Acinetobacter lwoffii	0.004	0
Ertapenem	Acinetobacter lwoffii	0.004	0
Gentamicin	Acinetobacter lwoffii	0.004	0
Imipenem	Acinetobacter lwoffii	0.004	0
Levofloxacin	Acinetobacter lwoffii	0.004	0
Meropenem	Acinetobacter lwoffii	0.004	0
Piperacillin	Acinetobacter lwoffii	0.004	0
Piperacillin-Tazobactam	Acinetobacter lwoffii	0.004	0
Ticarcillin	Acinetobacter lwoffii	0.004	0
Tobramycin	Acinetobacter lwoffii	0.004	0
Ampicillin	Acinetobacter spp	0.004	0
Ampicillin-Sulbactam (ratio)	Acinetobacter spp	0.004	0
Aztreonam	Acinetobacter spp	0.004	0
Cefalothin (a.k.a. Cefalotin)	Acinetobacter spp	0.004	0
Cefazolin	Acinetobacter spp	0.004	0
Cefepime	Acinetobacter spp	0.004	0
Cefixime	Acinetobacter spp	0.004	0
Cefotaxime	Acinetobacter spp	0.004	0
Cefoxitin	Acinetobacter spp	0.004	0
Cefpirome	Acinetobacter spp	0.004	0
Ceftazidime	Acinetobacter spp	0.004	0
Ceftibuten	Acinetobacter spp	0.004	0
Ceftobiprole	Acinetobacter spp	0.004	0
Ceftriaxone	Acinetobacter spp	0.004	0
Cefuroxime	Acinetobacter spp	0.004	0
Ciprofloxacin	Acinetobacter spp	0.004	2
Clinafloxacin	Acinetobacter spp	0.004	0
Colistin	Acinetobacter spp	0.004	0
Doripenem	Acinetobacter spp	0.004	0
Ertapenem	Acinetobacter spp	0.004	0
Fosfomycin	Acinetobacter spp	0.004	0
Gatifloxacin	Acinetobacter spp	0.004	0
Gentamicin	Acinetobacter spp	0.004	0
Imipenem	Acinetobacter spp	0.004	0
Levofloxacin	Acinetobacter spp	0.004	0
Loracarbef	Acinetobacter spp	0.004	0
Mecillinam	Acinetobacter spp	0.004	0
Meropenem	Acinetobacter spp	0.004	0
Minocycline	Acinetobacter spp	0.004	0
Moxifloxacin	Acinetobacter spp	0.004	0
Netilmicin	Acinetobacter spp	0.004	0
Nitrofurantoin	Acinetobacter spp	0.004	0
Norfloxacin	Acinetobacter spp	0.004	0
Ofloxacin	Acinetobacter spp	0.004	0
Piperacillin	Acinetobacter spp	0.004	0
Piperacillin-Tazobactam	Acinetobacter spp	0.004	0
Sparfloxacin	Acinetobacter spp	0.004	0
Tetracycline	Acinetobacter spp	0.004	0
Ticarcillin	Acinetobacter spp	0.004	0
Tigecycline	Acinetobacter spp	0.004	0
Tobramycin	Acinetobacter spp	0.004	0
Trimethoprim-Sulfamethoxazole	Acinetobacter spp	0.004	0
Amoxicillin	Actinomyces israelii	0.004	0
Benzylpenicillin	Actinomyces israelii	0.004	0
Ceftriaxone	Actinomyces israelii	0.004	0
Ciprofloxacin	Actinomyces israelii	0.004	0
Clarithromycin	Actinomyces israelii	0.004	0
Clindamycin	Actinomyces israelii	0.004	0
Erythromycin	Actinomyces israelii	0.004	0
Meropenem	Actinomyces israelii	0.004	47
Rifampicin	Actinomyces israelii	0.004	33
Tetracycline	Actinomyces israelii	0.004	0
Amoxicillin	Actinomyces spp	0.004	0
Benzylpenicillin	Actinomyces spp	0.004	0
Ceftriaxone	Actinomyces spp	0.004	0
Ciprofloxacin	Actinomyces spp	0.004	0
Clarithromycin	Actinomyces spp	0.004	4
Clindamycin	Actinomyces spp	0.004	0
Doxycycline	Actinomyces spp	0.004	0
Erythromycin	Actinomyces spp	0.004	0
Meropenem	Actinomyces spp	0.004	76
Rifampicin	Actinomyces spp	0.004	113
Tetracycline	Actinomyces spp	0.004	0
Ceftobiprole	Aeromonas hydrophila	0.004	0
Doripenem	Aeromonas hydrophila	0.004	0
Ertapenem	Aeromonas hydrophila	0.004	0
Gentamicin	Aeromonas hydrophila	0.004	0
Imipenem	Aeromonas hydrophila	0.004	0
Ofloxacin	Aeromonas hydrophila	0.004	0
Sparfloxacin	Aeromonas hydrophila	0.004	0
Tigecycline	Aeromonas hydrophila	0.004	0
Tobramycin	Aeromonas hydrophila	0.004	0
Ceftobiprole	Aeromonas spp	0.004	0
Doripenem	Aeromonas spp	0.004	0
Ertapenem	Aeromonas spp	0.004	0
Imipenem	Aeromonas spp	0.004	0
Cefepime	Alcaligenes xylosoxidans	0.004	0
Ciprofloxacin	Alcaligenes xylosoxidans	0.004	0
Doripenem	Alcaligenes xylosoxidans	0.004	0
Ertapenem	Alcaligenes xylosoxidans	0.004	0
Gentamicin	Alcaligenes xylosoxidans	0.004	0
Imipenem	Alcaligenes xylosoxidans	0.004	0
Amoxicillin	Anaerobic cocci Gram positive	0.004	0
Ceftriaxone	Anaerobic cocci Gram positive	0.004	0
Clindamycin	Anaerobic cocci Gram positive	0.004	0
Doripenem	Anaerobic cocci Gram positive	0.004	0
Imipenem	Anaerobic cocci Gram positive	0.004	0
Meropenem	Anaerobic cocci Gram positive	0.004	0
Metronidazole	Anaerobic cocci Gram positive	0.004	0
Piperacillin-Tazobactam	Anaerobic cocci Gram positive	0.004	0
Moxifloxacin	Bacteroides caccae	0.004	0
Tigecycline	Bacteroides caccae	0.004	0
Piperacillin	Bacteroides capillosus	0.004	0
Meropenem	Bacteroides distasonis	0.004	0
Moxifloxacin	Bacteroides distasonis	0.004	0
Tigecycline	Bacteroides distasonis	0.004	0
Amoxicillin	Bacteroides fragilis	0.004	0
Ampicillin	Bacteroides fragilis	0.004	0
Benzylpenicillin	Bacteroides fragilis	0.004	0
Cefoxitin	Bacteroides fragilis	0.004	0
Ceftazidime	Bacteroides fragilis	0.004	0
Ceftobiprole	Bacteroides fragilis	0.004	0
Ceftriaxone	Bacteroides fragilis	0.004	0
Ciprofloxacin	Bacteroides fragilis	0.004	0
Clindamycin	Bacteroides fragilis	0.004	0
Doripenem	Bacteroides fragilis	0.004	0
Ertapenem	Bacteroides fragilis	0.004	0
Gatifloxacin	Bacteroides fragilis	0.004	0
Gemifloxacin	Bacteroides fragilis	0.004	0
Imipenem	Bacteroides fragilis	0.004	0
Levofloxacin	Bacteroides fragilis	0.004	0
Meropenem	Bacteroides fragilis	0.004	17
Metronidazole	Bacteroides fragilis	0.004	0
Moxifloxacin	Bacteroides fragilis	0.004	0
Piperacillin	Bacteroides fragilis	0.004	0
Piperacillin-Tazobactam	Bacteroides fragilis	0.004	0
Secnidazole	Bacteroides fragilis	0.004	0
Sparfloxacin	Bacteroides fragilis	0.004	0
Ticarcillin	Bacteroides fragilis	0.004	0
Ticarcillin-Clavulanic acid	Bacteroides fragilis	0.004	0
Tigecycline	Bacteroides fragilis	0.004	0
Amoxicillin	Bacteroides fragilis group	0.004	0
Ampicillin	Bacteroides fragilis group	0.004	0
Benzylpenicillin	Bacteroides fragilis group	0.004	0
Cefoxitin	Bacteroides fragilis group	0.004	0
Ceftazidime	Bacteroides fragilis group	0.004	0
Ceftobiprole	Bacteroides fragilis group	0.004	0
Ceftriaxone	Bacteroides fragilis group	0.004	0
Ciprofloxacin	Bacteroides fragilis group	0.004	0
Clarithromycin	Bacteroides fragilis group	0.004	0
Clindamycin	Bacteroides fragilis group	0.004	0
Doripenem	Bacteroides fragilis group	0.004	0
Ertapenem	Bacteroides fragilis group	0.004	0
Erythromycin	Bacteroides fragilis group	0.004	0
Imipenem	Bacteroides fragilis group	0.004	2
Levofloxacin	Bacteroides fragilis group	0.004	0
Meropenem	Bacteroides fragilis group	0.004	0
Metronidazole	Bacteroides fragilis group	0.004	0
Moxifloxacin	Bacteroides fragilis group	0.004	0
Piperacillin	Bacteroides fragilis group	0.004	0
Piperacillin-Tazobactam	Bacteroides fragilis group	0.004	0
Quinupristin-Dalfopristin	Bacteroides fragilis group	0.004	0
Roxithromycin	Bacteroides fragilis group	0.004	0
Secnidazole	Bacteroides fragilis group	0.004	0
Telithromycin	Bacteroides fragilis group	0.004	0
Ticarcillin	Bacteroides fragilis group	0.004	0
Ticarcillin-Clavulanic acid	Bacteroides fragilis group	0.004	0
Tigecycline	Bacteroides fragilis group	0.004	0
Ampicillin	Bacteroides ovatus	0.004	0
Cefoxitin	Bacteroides ovatus	0.004	0
Clindamycin	Bacteroides ovatus	0.004	0
Imipenem	Bacteroides ovatus	0.004	0
Meropenem	Bacteroides ovatus	0.004	0
Metronidazole	Bacteroides ovatus	0.004	0
Moxifloxacin	Bacteroides ovatus	0.004	0
Piperacillin-Tazobactam	Bacteroides ovatus	0.004	0
Tigecycline	Bacteroides ovatus	0.004	0
Imipenem	Bacteroides spp	0.004	0
Moxifloxacin	Bacteroides spp	0.004	0
Amoxicillin	Bacteroides thetaiotaomicron	0.004	0
Ampicillin	Bacteroides thetaiotaomicron	0.004	0
Benzylpenicillin	Bacteroides thetaiotaomicron	0.004	0
Cefoxitin	Bacteroides thetaiotaomicron	0.004	0
Clindamycin	Bacteroides thetaiotaomicron	0.004	0
Doripenem	Bacteroides thetaiotaomicron	0.004	0
Ertapenem	Bacteroides thetaiotaomicron	0.004	0
Imipenem	Bacteroides thetaiotaomicron	0.004	0
Levofloxacin	Bacteroides thetaiotaomicron	0.004	0
Meropenem	Bacteroides thetaiotaomicron	0.004	4
Metronidazole	Bacteroides thetaiotaomicron	0.004	0
Moxifloxacin	Bacteroides thetaiotaomicron	0.004	0
Piperacillin-Tazobactam	Bacteroides thetaiotaomicron	0.004	0
Ticarcillin	Bacteroides thetaiotaomicron	0.004	0
